bill_txn_id,biller_code,biller_name,biller_category,customer_account_ref,bill_amount_aed,bill_date,due_date,payment_date,pay_status,payment_channel
BIL-90041,DEWA001,Dubai Electricity and Water Authority,UTILITIES,CUST-10089,312.00,2026-04-01,2026-04-15,2026-04-17 15:10:00,PAID,MOBILE_APP
BIL-90042,ADNIC01,ADNIC Insurance,INSURANCE,CUST-10200,2750.00,2026-04-01,2026-04-30,2026-04-17 16:50:00,PAID,ONLINE_BANKING
BIL-90043,ETSL001,Etisalat UAE,TELECOM,CUST-10420,405.50,2026-04-01,2026-04-15,2026-04-18 09:25:00,PAID,MOBILE_APP
BIL-90044,DU001,Du Telecom,TELECOM,CUST-10045,210.00,2026-04-01,2026-04-15,2026-04-18 11:00:00,PAID,ONLINE_BANKING
BIL-90045,SALIK01,Salik Road Toll,TRANSPORT,CUST-10089,40.00,2026-04-05,2026-04-20,2026-04-18 12:35:00,PAID,MOBILE_APP
BIL-90046,DHA001,Dubai Health Authority,HEALTHCARE,CUST-10200,185.00,2026-04-01,2026-04-30,2026-04-18 14:15:00,PAID,ONLINE_BANKING
BIL-90047,DEWA001,Dubai Electricity and Water Authority,UTILITIES,CUST-10315,598.00,2026-04-01,2026-04-15,2026-04-18 15:50:00,PAID,MOBILE_APP
BIL-90048,OMANIC01,Oman Insurance Company,INSURANCE,CUST-10089,1650.00,2026-04-01,2026-04-30,2026-04-18 17:30:00,PAID,MOBILE_APP
BIL-90049,ADDC001,Abu Dhabi Distribution Company,UTILITIES,CUST-10045,445.25,2026-04-01,2026-04-15,2026-04-19 09:10:00,PAID,MOBILE_APP
BIL-90050,SALIK01,Salik Road Toll,TRANSPORT,CUST-10200,200.00,2026-04-05,2026-04-20,2026-04-19 10:45:00,PAID,MOBILE_APP
BIL-90051,BADBIL,Missing Biller,UNKNOWN,,50.00,2026-04-01,2026-04-15,2026-04-19 11:00:00,PAID,MOBILE_APP
